"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
2243,11818607,"K02467.01",5.05661302,134.39648,0.616,3.926,137.9,1.1500000000000001,1049,286.32,17.6,5926,4.506,0.9390000000000001,"CONFIRMED",0.6542680460984733,0.3457319539015267
2244,6149910,"K02469.01",131.187921,172.3923,0.069,6.905,915.9000000000001,2.34,284,1.54,23.900000000000002,4898,4.518,0.803,"CONFIRMED",0.8824871377484582,0.11751286225154174
2246,5436013,"K02471.01",25.885939699999998,157.04328999999998,0.922,4.548,217.10000000000002,1.6600000000000001,542,20.35,16.1,5190,4.446,0.899,"CONFIRMED",0.868950925372979,0.13104907462702098
2250,4484336,"K02547.01",8.94337724,137.30234,0.163,2.4690000000000003,215.10000000000002,1.48,946,188.93,18.400000000000002,6074,4.375,1.0050000000000001,"CONFIRMED",0.8918944280678993,0.10810557193210067
2251,9580167,"K02548.01",0.827151296,132.07927,0.281,1.385,272.40000000000003,19.1,5171,168151.39,8.1,4452,2.2800000000000002,11.895,"FALSE POSITIVE",0.010492845787914429,0.9895071542120856
2253,11752906,"K00253.01",6.3831591350000005,170.604622,0.197,1.7504000000000002,2313.2000000000003,2.73,530,18.73,64.4,3757,4.681,0.5760000000000001,"CONFIRMED",0.9241493919470594,0.0758506080529407
2257,11768142,"K02626.01",38.0970717,140.00352999999998,0.9530000000000001,4.307,913.3000000000001,1.58,242,0.81,17.0,3554,4.867,0.398,"CONFIRMED",0.8320549311410889,0.16794506885891117
2258,7984574,"K02400.01",11.6191707,142.12335,0.059000000000000004,1.8190000000000002,700.4000000000001,2.21,756,77.43,18.5,5870,4.5600000000000005,0.834,"CONFIRMED",0.8839859452999893,0.1160140547000107
2260,10336951,"K02401.01",38.2292037,166.01191,0.5710000000000001,3.8930000000000002,605.8000000000001,1.51,359,3.92,21.0,4544,4.656,0.598,"CONFIRMED",0.9128536182825762,0.08714638171742378
2265,8240617,"K02474.01",176.845697,197.27794,1.4653,3.8120000000000003,431.6,42.050000000000004,291,1.69,7.7,5592,4.541,0.797,"FALSE POSITIVE",0.015295461594724613,0.9847045384052754
2270,11622985,"K02550.01",18.0243482,144.27756,0.5700000000000001,3.575,441.20000000000005,1.98,683,51.44,17.3,5955,4.5200000000000005,0.91,"CONFIRMED",0.7203230072675537,0.27967699273244634
2271,11361283,"K02551.01",16.4793229,142.94163,0.263,3.3120000000000003,479.1,1.53,537,19.62,13.8,4908,4.618,0.716,"CONFIRMED",0.6700641868539274,0.32993581314607257
2273,9832208,"K02553.01",88.0712769,214.51304,0.34700000000000003,6.758000000000001,885.4000000000001,2.4,330,2.79,18.1,4939,4.506,0.8190000000000001,"CONFIRMED",0.8794813305857905,0.12051866941420955
2277,7584650,"K02631.01",44.9977604,160.22979999999998,0.928,9.686,170.20000000000002,1.59,508,15.74,21.400000000000002,5871,4.493,0.983,"CONFIRMED",0.8329383934110096,0.16706160658899036
2279,6364215,"K02404.01",2.10081629,132.26789,0.9790000000000001,2.8182,169.10000000000002,1.6500000000000001,1378,852.78,15.3,5815,4.5,0.918,"FALSE POSITIVE",0.1437830042728424,0.8562169957271576
2284,6846911,"K02477.01",14.02634692,135.17539,0.877,1.2808000000000002,403.6,2.66,822,108.07000000000001,19.3,5970,4.355,1.131,"CONFIRMED",0.9336411840195475,0.06635881598045242
2286,5963582,"K02479.01",25.5433704,140.58705,0.44,8.567,138.6,2.11,772,84.0,28.400000000000002,5422,3.9450000000000003,1.782,"CONFIRMED",0.9170120220658599,0.08298797793414013
2287,4476423,"K02481.01",33.8542586,132.1329,0.18810000000000002,12.689000000000002,253.3,15.96,1326,730.99,10.0,4553,2.605,10.472,"FALSE POSITIVE",0.04630272460788731,0.9536972753921127
2290,6467363,"K02840.01",3.67936863,134.99021,0.885,3.47,85.9,0.92,1112,361.27,18.1,5676,4.474,0.848,"CONFIRMED",0.8163731262366989,0.18362687376330117
2291,6467363,"K02840.02",7.446463499999999,137.3391,0.531,4.0840000000000005,78.0,0.77,879,141.12,12.700000000000001,5676,4.474,0.848,"CONFIRMED",0.6283590085212012,0.37164099147879887
2292,8758204,"K02841.01",159.388788,226.9313,0.109,8.432,1033.0,2.73,289,1.6500000000000001,17.3,5135,4.464,0.874,"CONFIRMED",0.7059000738583556,0.2940999261416444
2297,10332213,"K02919.01",2.522590567,131.64534,1.2610000000000001,1.4060000000000001,210.20000000000002,25.82,1205,499.07,18.5,5591,4.559,0.86,"FALSE POSITIVE",0.04400198600380367,0.9559980139961963
2307,10073672,"K02764.01",2.252976718,132.23957,0.157,1.7131,467.90000000000003,1.19,795,94.26,21.700000000000003,4039,4.708,0.559,"CONFIRMED",0.8819222062705271,0.11807779372947293
2313,7749773,"K02848.01",13.7872627,144.77402999999998,0.921,5.747000000000001,75.10000000000001,1.55,894,150.64000000000001,23.900000000000002,5691,4.139,1.458,"CONFIRMED",0.9538442096329149,0.04615579036708506
2315,10064256,"K02849.01",5.95958637,135.00822,0.26,2.899,133.1,1.02,897,153.48,16.1,5452,4.535,0.9,"CONFIRMED",0.8038836779083715,0.19611632209162852
2316,6842807,"K02921.01",16.6146221,137.33276,0.017,2.7060000000000004,361.20000000000005,1.49,604,31.48,10.600000000000001,5295,4.548,0.8,"FALSE POSITIVE",0.2568716318251457,0.7431283681748543
2318,9815053,"K02923.01",5.83892993,136.90293,0.319,1.1066,237.4,1.19,835,114.94,15.3,5279,4.588,0.769,"CONFIRMED",0.7429946313868232,0.25700536861317674
2321,9697131,"K02706.01",3.09756897,131.55889,0.40800000000000003,4.588,83.30000000000001,1.75,1782,2380.18,14.600000000000001,6329,4.026,1.885,"FALSE POSITIVE",0.23179623803359262,0.7682037619664074
2329,10917043,"K02770.01",205.385912,284.18824,0.008,8.681000000000001,1248.7,2.11,200,0.38,24.3,4400,4.659,0.624,"CONFIRMED",0.7087589954880262,0.29124100451197377
2333,6697605,"K02851.01",3.42064689,132.30629,0.92,1.7670000000000001,356.8,2.27,1129,382.68,13.9,5370,4.4110000000000005,0.966,"CONFIRMED",0.6791628159739753,0.3208371840260247
2334,6697605,"K02851.02",1.23935745,131.85254,0.932,1.683,150.9,1.5,1583,1488.51,9.700000000000001,5370,4.4110000000000005,0.966,"FALSE POSITIVE",0.16889303438243886,0.8311069656175611
2336,12602314,"K02853.01",1.4070201180000002,131.60897,0.167,1.3766,181.9,1.12,1350,782.45,18.900000000000002,5022,4.485,0.849,"CONFIRMED",0.7892101671954906,0.21078983280450936
2337,5787131,"K02927.01",24.4359956,134.8181,0.019,6.2540000000000004,496.6,2.31,674,48.81,17.1,6197,4.449,1.035,"CONFIRMED",0.8761281924640743,0.12387180753592573
2350,6346809,"K02775.01",17.577045690000002,137.73116,1.25,2.0220000000000002,670.0,27.21,673,48.33,19.1,5653,4.442,0.901,"FALSE POSITIVE",0.049955275382475794,0.9500447246175242
