"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
6972,5613330,"K00649.02",10.2090268,140.6805,0.21300000000000002,6.264,36.7,0.92,1058,296.42,9.8,6188,4.196,1.524,"FALSE POSITIVE",0.4167554776147008,0.5832445223852992
6975,3545840,"K06102.01",54.2916336,172.0219,0.7285,3.3640000000000003,97.80000000000001,1.67,665,46.21,7.9,6711,4.179,1.565,"FALSE POSITIVE",0.08349279201775789,0.9165072079822421
6977,3634051,"K06103.02",122.8054416,179.31732,1.346,2.6630000000000003,313.0,118.62,602,31.11,10.600000000000001,5874,3.664,3.0060000000000002,"FALSE POSITIVE",0.04225,0.95775
6978,3761319,"K06104.01",16.2480865,143.96707999999998,0.928,8.232000000000001,438.70000000000005,2.38,704,58.1,21.1,5729,4.436,0.923,"CONFIRMED",0.7858582897782326,0.21414171022176742
6989,9389245,"K06202.01",47.25643291,158.8207171,,2.0,,,,,,,,,"FALSE POSITIVE",0.0027437757877632977,0.9972562242122367
6990,9828127,"K04192.02",32.027316899999995,150.635,0.259,5.144,161.70000000000002,1.1400000000000001,525,17.95,8.8,5505,4.501,0.909,"FALSE POSITIVE",0.27722947659343483,0.7227705234065651
6991,5177859,"K04246.02",8.75630628,132.47009,0.371,2.8520000000000003,81.9,1.12,982,219.87,9.8,5839,4.279,1.227,"CONFIRMED",0.5012690033987165,0.4987309966012835
6992,11081504,"K04287.02",9.6183111,138.3435,0.447,4.215,25.0,0.85,1142,402.64,11.9,6134,4.065,1.665,"CONFIRMED",0.6527987727224827,0.34720122727751734
6994,8110757,"K07865.01",0.518060209,131.9425,1.262,1.8062,2258.4,61.49,2921,17224.79,140.6,5405,3.853,1.772,"FALSE POSITIVE",0.004,0.996
6995,8278685,"K04435.02",17.869375899999998,140.28109999999998,0.259,6.886,63.0,0.81,759,78.58,9.8,6328,4.456,1.0130000000000001,"FALSE POSITIVE",0.24247510539740325,0.7575248946025968
6996,5511659,"K04541.02",17.236085,148.4127,0.04,4.2090000000000005,330.0,1.98,721,63.85,10.4,5543,4.3180000000000005,1.111,"CONFIRMED",0.6254407894313335,0.3745592105686665
7004,4139254,"K06108.01",485.92297,299.50149999999996,0.4516,3.7560000000000002,122.9,1.07,225,0.61,5.5,5551,4.386,0.9570000000000001,"FALSE POSITIVE",0.002,0.998
7006,10141900,"K01082.04",9.6550473,137.07505,0.124,2.7520000000000002,313.1,1.45,705,58.36,12.200000000000001,4999,4.49,0.843,"CONFIRMED",0.6721950767338276,0.3278049232661724
7009,4255944,"K06111.01",228.65412,282.7548,0.225,2.487,179.10000000000002,3.63,521,17.44,6.6000000000000005,6845,3.849,2.674,"FALSE POSITIVE",0.002,0.998
